name,price,img
  Sticks de Pato en Monodosis para Perro - 16 Unidades,2.99,https://img3.petsonic.com/12050-large_default/sticks-de-pato-en-monodosis-para-perro.jpg
  Sticks de Cordero en Monodosis para Perro - 16 Unidades,2.99,https://img1.petsonic.com/12051-large_default/sticks-de-cordero-en-monodosis-para-perro.jpg
  Sticks de Queso en Monodosis para Perro - 1 Unidad.,2.99,https://img3.petsonic.com/12048-large_default/sticks-de-queso-en-monodosis-para-perro.jpg
  Stick de Pescado en Monodosis para Perro - 16 Unidades,2.99,https://img2.petsonic.com/13920-large_default/stick-pescado-monodosis-para-perro.jpg
  Snacks Pescado Blanco para Perro - 60 Gr.,1.99,https://img3.petsonic.com/13857-large_default/snacks-pescado-blanco-para-perro.jpg
  Snack Tacos de Atún para Perro - 80 Gr,1.99,https://img3.petsonic.com/13859-large_default/snack-tacos-atun-para-perro.jpg
  Barritas Redonda de Ternera para Perro - 400 Gr.,4.99,https://img2.petsonic.com/15277-large_default/hobbit-alf-barritas-redonda-ternera-para-perros.jpg
  Barritas Redonda de Ternera para Perro - 900 Gr.,8.99,https://img2.petsonic.com/15277-large_default/hobbit-alf-barritas-redonda-ternera-para-perros.jpg
  Barritas Redonda de Cordero para Perro - 400 Gr.,5.49,https://img3.petsonic.com/15278-large_default/hobbit-alf-barritas-redonda-cordero-para-perros.jpg
  Barritas Redonda de Cordero para Perro - 900 Gr.,8.99,https://img3.petsonic.com/15278-large_default/hobbit-alf-barritas-redonda-cordero-para-perros.jpg
  Barritas Redonda de Pollo para Perro - 400 Gr.,4.99,https://img3.petsonic.com/15281-large_default/hobbit-alf-barritas-redonda-pollo-para-perros.jpg
  Barritas Redonda de Pollo para Perro - 900 Gr.,7.64,https://img3.petsonic.com/15281-large_default/hobbit-alf-barritas-redonda-pollo-para-perros.jpg
  Mini Huesitos Tiernos Mix para Perros - 500 Gr.,3.79,https://img2.petsonic.com/15886-large_default/hobbit-alf-mini-huesitos-tiernos-mix-para-perros.jpg
  Snack Toffy Salmón para Perro - 250 Gr.,2.99,https://img3.petsonic.com/15888-large_default/nayeco-snack-toffy-salmon-para-perros.jpg
  Snack Toffy Pollo para Perro - 75 Gr.,2.99,https://img3.petsonic.com/11042-large_default/nayeco-snack-toffy-pollo-para-perros.jpg
  Snack Toffy Cordero para Perro - 75 Gr.,2.99,https://img1.petsonic.com/11044-large_default/nayeco-snack-toffy-cordero-para-perros.jpg
